MILAN,North Italian City - the capital of the Lombardy (Lombardia) region and so-called the economic capital of Italy - famous for fashion Italian style.,Italy
MOSCOW,The centre of power and the capital of the Russian Federation - well known are its landmarks the Kremlin - the Red Square and the Saint Basil's Cathedral - and famous for the Russian ballet and the performing arts.,Russia
MUNICH,Third largest city of Germany and state capital of Bavaria - founded in 1158; the city is famous for its rural fashion - its beers and as the host of the annual Oktoberfest - the biggest public festival of the world; and in Munich is the headquarters of BMW.,Germany
OSAKA,"The business and industrial city - part of the Osaka-Kobe-Kyoto metropolitan area - is located on the main island of Honshu - at the mouth of the Yodo River. Osaka used to be called the city of ""eight hundred eight bridges"" - and it's one of the oldest cities in Japan.",Japan
OSLO,Situated in the southern part of the country at the head of Oslo Fjord - surrounded by forested hills and mountains. Oslo is the cultural centre and the capital city of Norway,Norway
PHILADELPHIA,The largest city in Pennsylvania and one of the oldest cities in the USA - Established as a Quaker colony by William Penn and others in 1681 - it was the site in 1776 of the signing of the Declaration of Independence and in 1787 of the adoption of the Constitution of the U.S. and last but not least the birthplace of the Philly Sound - Philadelphia' soul music.,America
PRAGUE,"The citytakes its name from praga - which means ""ford"" - in history many settlements gathered around such a it is todaythe capital city of Czech Republic.",Czech Republic
REYKJAVIK,"The capital city of Iceland. In the ninth century - the first Vikings settled in the area where the city would later rise. They named the place Reykjavêk - it means ""smoky bay"" because of the hot steam rising from the abundant geothermal springs.",Iceland
SAN FRANCISCO,One of the most cosmopolitan cities in the United States.,America
SANTIAGO,The capital city of Chile. Founded 1541 - by Pedro de Valdivia.,Chile
SHANGHAI,Harbour city at the mouth of the Yangtze River and the largest city in China - traditionally always in rivalry with Beijing. ,China
STOCKHOLM,Largest city and the capital of Sweden.,Sweden
SYDNEY,Most populous Australian City with an international air - Australia.,Australia
TOKYO,"The ""Eastern Capital"" - formerly Edo (until 1868) - the capital and largest city of Japan.",Japan
VENICE,The famous Italian lagoon city - the city of canals is the capital of the Veneto region of Italy.,Italy
WASHINGTON,The capital city of the United States of America. Washington - DC was founded in 1791 as the worlds first planned capital city - USA.,America
ANKARA,Formerly known as Angora - second largest city and the national capital of Turkey.,Turkey
ATLANTIC CITY,Gaming Mecca of the East Coast - home of the Miss America Pageant - site of the world famous Boardwalk in the State of New Jersey.,America
CANNES,Famous city at the French Riviera - the Cote d'Azur in France - tourist attraction and host of the annual Cannes Film Festival.,France
CHICAGO,The City of Chicago is the third largest city in the United States located on the shores of Lake Michigan - Illinois.,America
DELHI,"The North Indian city is together with New Delhi the ""National Capital Territory"" - second largest city and capital city of India.",India
DUBLIN,Bhaile çtha tha Cliath is the capital and largest city of Ireland ,Ireland
GENEVE,Cosmopolitan Swiss city at the Lake Geneva - today home to around 190 international organisations - both governmental and non-governmental.,Switzerland
HA NOI,The national capital of VietNam - a must see is the Old Quarter of Hanoi - the oldest continuously developed area of Viet Nam with its narrow streets of houses - still occupied by guilds of tradespeople - a legacy of Hanoi's ancient past.,Vietnam
HELSINKI,Largest city and the capital city of Finland.,Finland
HONOLULU,Most populous city - principal port and capital of Hawai'i - a state of the USA. The city is located along the southeast coast of the island of Oahu.,America
JAKARTA,Formerly (until 1949) Batavia - (from 1949-72) Djakarta - located on the island of Java - is the largest city and the national capital of Indonesia.,Indonesia
KANSAS CITY,State of Missouri - often abbreviated KCMO - a trading post in 1821 - today Kansas City is the centre of the Kansas City Metropolitan Area and a centre for night life and music.,America
KUALA LUMPUR,It is the largest city and the national capital of Malaysia well known by its landmark the Petronas Twin Towers - one of the tallest buildings in the world.,Malaysia
LONDON,Largest metropolitan area and the capital city of both - the United Kingdom and of England - a polycentric city with many core districts and no clear hierarchy among them - Londinium was founded by the Romans in the 1st century AD.,Britain
LUXEMBOURG,Originated from a castle called Lucilinburhuc and its surrounding settlement - today the city is the national capital of the Grand Duchy of Luxembourg and one of the capitals of banking in Europe.,Luxem
MANILA,The pre-Hispanic village called Maynila is today the Capital City of the Philippines.,Phillipines
MEXICO CITY,In ancient times the pre-Columbian city Tenochtitlön - today the national capital of Mexico - the oldest capital in the New World - founded in 1525 by the Spaniards.,Mexico
MONTREAL,Largest city in the province of Quebec - in Canada - the world's second largest francophone city after Paris is a major centre of business - economy - culture - and world affairs.,Canada
MUMBAI,Formerly known as Bombay - Mumbai is one of the most populous cities in the world - capital of the state of Maharashtra - India.,India
NAZARETH,City of the Annunciation. The ancient town in Northern Israel is the capital of the northern region of the country - and the largest Arab city in Israel.,Isreal
NICE,Birthplace of Yves Klein - a relatively small but famous city at the French Riviera - one of the tourist attractions of the Cote d'Azur in France.,France
OTTAWA,Considered as one of the world's most beautiful capitals - a cosmopolitan North American city with an European flair - located in the eastern part of the province of Ontario. Ottawa is the national capital of Canada.,Canada
PARIS,The city takes its name from the Parisii - Celtic Iron Age people who lived on the banks of the Seine river. Today the city is the cultural center - largest city and the national capital of a still more or less central orientated French Republic. Paris is situated at the center of the ïle-de-France region on the Seine river. The city was held by the Romans for some times - who called it Lutetia and later by the Merovingians - a Salian Frankish dynasty. Paris has been - and still is - the center of power of France.,France
PHNOM PENH,The national capital of the Kingdom of Cambodia - situated in the south-west of the country at the confluence of the three rivers Mekong - Tonle Sap and Bassac. A city with many cultural and historical attractions like the Royal Palace - Silver Pagoda and the National Museum. The city takes its name from the present Wat Phnom or Hill Temple - by the way - an Elephant ride is available there.,Cambodia
QUITO,The capital city of Ecuador.,Ecuador
SANTA FE,America's oldest capital city; New Mexico - USA. Founded in 1607 by Spanish explorers.,Mexico
SAO PAULO,International Brazilian City - Brazil.,Brazil
SINGAPORE CITY,The capital city of the Republic of Singapore.,Singapore
TAIPEI,The capital city and the political - economic - and educational centre of Taiwan.,Taiwan
TORONTO,Largest city and the cultural and entertainment capital of Canada,Canada
VIENNA,The capital city of Austria,Austria
ZURICH,International Swiss City and the largest city in Switzerland,Switzerland
